,date,time,light_bri,light_hue,light_sat,ldr,red,green,blue,song_id,acousticness,danceability,energy,valence
0,13/12/2021,15:33,214,56063,100,1008,187,191,144,3bkkMZEAhx7rTVz1C0itRQ,0.137,0.719,0.758,0.49
1,13/12/2021,15:32,214,56063,100,1011,185,193,144,5DWK9BWhM0uTYe24hDcguf,0.0826,0.756,0.661,0.326
2,13/12/2021,15:32,214,56063,100,1011,185,193,144,5DWK9BWhM0uTYe24hDcguf,0.0826,0.756,0.661,0.326
3,13/12/2021,15:18,214,56063,100,1022,181,191,145,37adYGaYaAWTGhBaOzX4Fh,0.0212,0.623,0.661,0.63
4,13/12/2021,15:14,214,56063,100,1008,179,189,144,66UcQu5LBo2A7AC0A5r0lI,0.262,0.7,0.696,0.293
5,13/12/2021,15:11,214,56063,100,1007,179,188,144,1cBdZdp3VuzMc0gsWSGQvy,0.0949,0.954,0.356,0.513
6,13/12/2021,15:08,214,56063,100,1014,179,194,146,68F0Awp8Y64KAgvYYbUFc1,0.512,0.585,0.547,0.237
7,13/12/2021,15:04,214,56063,100,1023,188,194,150,4FUDWkguOUVpLRAVn5C20z,0.29,0.384,0.465,0.636
8,13/12/2021,14:51,214,56063,100,1009,188,194,148,3IdPtyJHB1WVPM4eCiCAKM,0.0746,0.565,0.903,0.54
9,13/12/2021,00:33,123,4549,254,96,179,185,140,6OxJmjdzeYP5EdnnP8vMnH,0.000597,0.473,0.96,0.374
10,13/12/2021,00:29,123,4549,254,107,178,185,140,5M7OvJqw8FvIr4jLJLwCi1,0.00149,0.228,0.753,0.291
11,13/12/2021,00:25,123,4549,254,104,179,184,140,2OOWmqOdbus0ZQ2zYooVtg,0.673,0.366,0.514,0.14
12,13/12/2021,00:21,123,4549,254,107,182,184,140,1FYTEYMWAu6gz7BYDHyoBU,0.00495,0.214,0.948,0.565
13,13/12/2021,00:18,123,4549,254,103,181,188,140,2nLtzopw4rPReszdYBJU6h,0.0046,0.496,0.863,0.243
14,13/12/2021,00:15,123,4549,254,97,181,185,140,4TPDbirM5UZqygPgwLp4v2,0.026,0.387,0.846,0.37
15,13/12/2021,00:10,123,4549,254,96,181,192,140,7Ab51NCWADbkYjpdhUN3Mw,8.12e-05,0.304,0.921,0.463
16,13/12/2021,00:07,123,4549,254,94,178,187,140,6y6y7GCq8M4Uy8Tg87dTTJ,0.00704,0.349,0.698,0.383
17,12/12/2021,23:51,123,4549,254,98,187,184,140,1cBdZdp3VuzMc0gsWSGQvy,0.0949,0.954,0.356,0.513
18,12/12/2021,23:49,123,4549,254,97,178,186,145,5DWK9BWhM0uTYe24hDcguf,0.0826,0.756,0.661,0.326
19,12/12/2021,23:45,123,4549,254,93,178,184,140,3bkkMZEAhx7rTVz1C0itRQ,0.137,0.719,0.758,0.49
20,12/12/2021,23:41,123,4549,254,96,178,188,142,3bkkMZEAhx7rTVz1C0itRQ,0.137,0.719,0.758,0.49
21,12/12/2021,23:38,123,4549,254,107,179,185,140,2AMysGXOe0zzZJMtH3Nizb,0.0997,0.513,0.628,0.501
22,12/12/2021,23:34,123,4549,254,100,178,184,140,3JR0ducCexKbeK47g6AHm5,0.00308,0.739,0.588,0.774
23,12/12/2021,23:31,123,4549,254,101,178,184,140,4FUDWkguOUVpLRAVn5C20z,0.29,0.384,0.465,0.636
24,12/12/2021,23:28,123,4549,254,97,177,188,141,4FUDWkguOUVpLRAVn5C20z,0.29,0.384,0.465,0.636
25,12/12/2021,23:24,123,4549,254,98,179,183,141,4FUDWkguOUVpLRAVn5C20z,0.29,0.384,0.465,0.636
26,12/12/2021,23:16,123,4549,254,94,179,187,142,4FUDWkguOUVpLRAVn5C20z,0.29,0.384,0.465,0.636
27,12/12/2021,23:13,123,4549,254,107,181,187,141,584e17zySNmvOd1iG57zxF,0.11,0.934,0.555,0.664
28,12/12/2021,23:06,123,4549,254,101,179,186,140,37adYGaYaAWTGhBaOzX4Fh,0.0212,0.623,0.661,0.63
29,12/12/2021,23:04,123,4549,254,97,182,192,141,3IdPtyJHB1WVPM4eCiCAKM,0.0746,0.565,0.903,0.54
30,12/12/2021,22:55,123,4549,254,97,176,185,138,1cBdZdp3VuzMc0gsWSGQvy,0.0949,0.954,0.356,0.513
31,12/12/2021,22:52,123,4549,254,94,176,187,147,37adYGaYaAWTGhBaOzX4Fh,0.0212,0.623,0.661,0.63
