created_at,field1,field2,field3,field4
2021-12-06T22:11:13+00:00,1555,156,170,126
2021-12-06T22:11:36+00:00,1554,156,169,126
2021-12-06T22:11:58+00:00,1556,154,169,125
2021-12-06T22:12:33+00:00,1555,51,81,66
2021-12-06T22:12:55+00:00,1555,170,246,183
2021-12-06T22:13:18+00:00,1557,29,31,25
2021-12-06T22:13:40+00:00,1552,176,236,179
2021-12-06T22:14:02+00:00,1555,385,495,373
2021-12-06T22:14:25+00:00,1554,140,178,131
2021-12-06T22:14:47+00:00,1557,213,260,190
2021-12-06T22:15:09+00:00,1557,61,49,36
2021-12-06T22:15:32+00:00,1563,221,278,202
2021-12-06T22:15:54+00:00,1554,228,241,210
2021-12-06T22:16:17+00:00,1554,209,304,215
2021-12-06T22:16:39+00:00,1555,256,327,237
2021-12-06T22:17:02+00:00,1554,206,314,234
2021-12-06T22:17:24+00:00,1554,208,298,245
2021-12-06T22:17:46+00:00,1557,205,288,229
2021-12-06T22:18:09+00:00,1554,158,209,152
2021-12-06T22:18:31+00:00,1556,118,210,191
2021-12-06T22:18:54+00:00,1556,323,428,331
2021-12-06T22:19:16+00:00,1557,339,437,339
2021-12-06T22:19:38+00:00,1557,359,685,528
2021-12-06T22:20:01+00:00,1557,208,410,270
2021-12-06T22:20:23+00:00,1556,270,482,373
2021-12-06T22:20:46+00:00,1556,253,463,368
2021-12-06T22:21:08+00:00,1557,218,411,306
2021-12-06T22:21:31+00:00,1554,279,313,269
2021-12-06T22:21:53+00:00,1557,189,249,206
2021-12-06T22:22:15+00:00,1554,158,196,165
2021-12-06T22:22:38+00:00,1558,144,175,133
2021-12-06T22:23:00+00:00,1556,145,177,137
2021-12-06T22:23:22+00:00,1555,103,126,100
2021-12-06T22:23:45+00:00,1554,123,131,104
2021-12-06T22:24:07+00:00,1558,123,136,107
2021-12-06T22:24:30+00:00,1556,106,125,95
2021-12-06T22:24:52+00:00,1556,178,261,224
2021-12-06T22:25:15+00:00,1557,270,441,297
2021-12-06T22:25:37+00:00,1557,209,362,292
2021-12-06T22:25:59+00:00,1557,214,367,309
2021-12-06T22:26:22+00:00,1559,210,343,249
2021-12-06T22:26:44+00:00,1559,276,443,339
2021-12-06T22:27:07+00:00,1559,276,443,344
2021-12-06T22:27:29+00:00,1559,276,442,356
2021-12-06T22:27:51+00:00,1558,279,441,339
2021-12-06T22:28:14+00:00,1558,369,281,341
2021-12-06T22:28:36+00:00,1559,311,451,338
2021-12-06T22:28:58+00:00,1559,276,441,338
2021-12-06T22:29:21+00:00,1559,276,452,345
2021-12-06T22:29:44+00:00,1559,278,439,342
2021-12-06T22:30:06+00:00,1560,344,446,337
2021-12-06T22:30:28+00:00,1561,266,416,320
2021-12-06T22:30:51+00:00,1558,268,411,327
2021-12-06T22:31:13+00:00,1558,272,419,315
2021-12-06T22:31:35+00:00,1559,264,411,315
2021-12-06T22:31:58+00:00,1557,315,410,322
2021-12-06T22:32:20+00:00,1559,368,412,319
2021-12-06T22:32:43+00:00,1558,366,412,319
2021-12-06T22:33:05+00:00,1558,379,419,329
2021-12-06T22:33:27+00:00,1555,366,410,318
2021-12-06T22:33:50+00:00,1556,365,409,318
2021-12-06T22:34:12+00:00,1555,366,410,318
2021-12-06T22:34:35+00:00,1557,338,365,317
2021-12-06T22:34:57+00:00,1557,363,396,317
2021-12-06T22:35:19+00:00,1555,309,397,300
2021-12-06T22:35:42+00:00,1554,370,370,307
2021-12-06T22:36:04+00:00,1554,365,408,315
2021-12-06T22:36:27+00:00,1551,372,409,320
2021-12-06T22:36:49+00:00,1557,366,355,316
2021-12-06T22:37:11+00:00,1557,358,337,313
2021-12-06T22:37:34+00:00,1557,365,389,313
2021-12-06T22:37:57+00:00,1555,314,405,298
2021-12-06T22:38:19+00:00,1554,363,407,323
2021-12-06T22:38:41+00:00,1556,360,406,325
2021-12-06T22:39:04+00:00,1554,364,405,315
2021-12-06T22:39:26+00:00,1549,359,375,261
2021-12-06T22:39:49+00:00,1555,372,405,288
2021-12-06T22:40:11+00:00,1555,364,381,315
